Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,11200.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0,1040.0,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384.0,TA,TA,Y,0.0,0.0,0,0,0,0,,,,0,2,2008,WD,Normal,129500.0
12,60,RL,85.0,11924.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,'Wd Shng',Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182.0,1142.0,0,2324.0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736.0,TA,TA,Y,147.0,21.0,0,0,0,0,,,,0,7,2006,New,Partial,345000.0
13,20,RL,,12968.0,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0,175.0,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0,912.0,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352.0,TA,TA,Y,140.0,0.0,0,0,176,0,,,,0,9,2008,WD,Normal,144000.0
14,20,RL,91.0,10652.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0,1494.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840.0,TA,TA,Y,160.0,33.0,0,0,0,0,,,,0,8,2007,New,Partial,279500.0
15,20,RL,,10920.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0,520.0,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0,1253.0,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352.0,TA,TA,Y,0.0,213.0,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,157000.0
16,45,RM,51.0,6120.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,'Wd Sdng','Wd Sdng',,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,832.0,832.0,GasA,Ex,Y,FuseA,854.0,0.0,0,854.0,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576.0,TA,TA,Y,48.0,112.0,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,132000.0
17,20,RL,,11241.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,'Wd Sdng','Wd Sdng',BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0,1004.0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480.0,TA,TA,Y,0.0,0.0,0,0,0,0,,,Shed,700,3,2010,WD,Normal,149000.0
18,90,RL,72.0,10791.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0.0,,0,0.0,0.0,GasA,TA,Y,SBrkr,1296.0,0.0,0,1296.0,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516.0,TA,TA,Y,0.0,0.0,0,0,0,0,,,Shed,500,10,2006,WD,Normal,90000.0
19,20,RL,66.0,13695.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0,1114.0,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576.0,TA,TA,Y,0.0,102.0,0,0,0,0,,,,0,6,2008,WD,Normal,159000.0
20,20,RL,70.0,7560.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0,525.0,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0,1339.0,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294.0,TA,TA,Y,0.0,0.0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000.0
21,60,RL,101.0,14215.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0,2376.0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853.0,TA,TA,Y,240.0,154.0,0,0,0,0,,,,0,11,2006,New,Partial,325300.0
22,45,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,'Wd Sdng','Wd Sdng',,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0,637.0,637.0,GasA,Ex,Y,FuseF,1108.0,0.0,0,1108.0,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280.0,TA,TA,N,0.0,0.0,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal,139400.0
23,20,RL,75.0,9742.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1777.0,1777.0,GasA,Ex,Y,SBrkr,1795.0,0.0,0,1795.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534.0,TA,TA,Y,171.0,159.0,0,0,0,0,,,,0,9,2008,WD,Normal,230000.0
24,120,RM,44.0,4224.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0,200.0,1040.0,GasA,TA,Y,SBrkr,1060.0,0.0,0,1060.0,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572.0,TA,TA,Y,100.0,110.0,0,0,0,0,,,,0,6,2007,WD,Normal,129900.0
25,20,RL,,8246.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668,204.0,1060.0,GasA,Ex,Y,SBrkr,1060.0,0.0,0,1060.0,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270.0,TA,TA,Y,406.0,90.0,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,154000.0
26,20,RL,110.0,14230.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600.0,0.0,0,1600.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890.0,TA,TA,Y,0.0,56.0,0,0,0,0,,,,0,7,2009,WD,Normal,256300.0
27,20,RL,60.0,7200.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,'Wd Sdng','Wd Sdng',,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486,180.0,900.0,GasA,TA,Y,SBrkr,900.0,0.0,0,900.0,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576.0,TA,TA,Y,222.0,32.0,0,0,0,0,,,,0,5,2010,WD,Normal,134800.0
28,20,RL,98.0,11478.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0,1704.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772.0,TA,TA,Y,0.0,50.0,0,0,0,0,,,,0,5,2010,WD,Normal,306000.0
29,20,RL,47.0,16321.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0,207.0,1484.0,GasA,TA,Y,SBrkr,1600.0,0.0,0,1600.0,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319.0,TA,TA,Y,288.0,258.0,0,0,0,0,,,,0,12,2006,WD,Normal,207500.0
30,30,RM,60.0,6324.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,520.0,520.0,GasA,Fa,N,SBrkr,520.0,0.0,0,520.0,0,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,240.0,Fa,TA,Y,49.0,0.0,87,0,0,0,,,,0,5,2008,WD,Normal,68500.0
31,70,'C (all)',50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0,649.0,649.0,GasA,TA,N,SBrkr,649.0,668.0,0,1317.0,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250.0,TA,Fa,N,0.0,54.0,172,0,0,0,,MnPrv,,0,7,2008,WD,Normal,40000.0
32,20,RL,,8544.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0,1228.0,0,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,271.0,TA,TA,Y,0.0,65.0,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,149350.0
33,20,RL,85.0,11049.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1234.0,1234.0,GasA,Ex,Y,SBrkr,1234.0,0.0,0,1234.0,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,484.0,TA,TA,Y,0.0,30.0,0,0,0,0,,,,0,1,2008,WD,Normal,179900.0
34,20,RL,70.0,10552.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0,380.0,1398.0,GasA,Gd,Y,SBrkr,1700.0,0.0,0,1700.0,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447.0,TA,TA,Y,0.0,38.0,0,0,0,0,,,,0,4,2010,WD,Normal,165500.0
35,120,RL,60.0,7313.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0,408.0,1561.0,GasA,Ex,Y,SBrkr,1561.0,0.0,0,1561.0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556.0,TA,TA,Y,203.0,47.0,0,0,0,0,,,,0,8,2007,WD,Normal,277500.0
36,60,RL,108.0,13418.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1117.0,1117.0,GasA,Ex,Y,SBrkr,1132.0,1320.0,0,2452.0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691.0,TA,TA,Y,113.0,32.0,0,0,0,0,,,,0,9,2006,WD,Normal,309000.0
37,20,RL,112.0,10859.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1097.0,1097.0,GasA,Ex,Y,SBrkr,1097.0,0.0,0,1097.0,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,672.0,TA,TA,Y,392.0,64.0,0,0,0,0,,,,0,6,2009,WD,Normal,145000.0
38,20,RL,74.0,8532.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,'Wd Sdng','Wd Sdng',BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0,84.0,1297.0,GasA,Gd,Y,SBrkr,1297.0,0.0,0,1297.0,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498.0,TA,TA,Y,0.0,0.0,0,0,0,0,,,,0,10,2009,WD,Normal,153000.0
39,20,RL,68.0,7922.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0,326.0,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,0,1057.0,1,0,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,246.0,TA,TA,Y,0.0,52.0,0,0,0,0,,,,0,1,2010,WD,Abnorml,109000.0
40,90,RL,65.0,6040.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,0.0,,0,0.0,0.0,GasA,TA,N,FuseP,1152.0,0.0,0,1152.0,0,0,2,0,2,2,Fa,6,Typ,0,,,,,0,0.0,,,N,0.0,0.0,0,0,0,0,,,,0,6,2008,WD,AdjLand,82000.0
41,20,RL,84.0,8658.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,'Wd Sdng','Wd Sdng',BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0,445.0,1088.0,GasA,Ex,Y,SBrkr,1324.0,0.0,0,1324.0,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440.0,TA,TA,Y,0.0,138.0,0,0,0,0,,GdWo,,0,12,2006,WD,Abnorml,160000.0
42,20,RL,115.0,16905.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967.0,Unf,0,383.0,1350.0,GasA,Gd,Y,SBrkr,1328.0,0.0,0,1328.0,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308.0,TA,TA,P,0.0,104.0,0,0,0,0,,,,0,7,2007,WD,Normal,170000.0
43,85,RL,,9180.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,93,0.0,840.0,GasA,Gd,Y,SBrkr,884.0,0.0,0,884.0,1,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,504.0,TA,Gd,Y,240.0,0.0,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal,144000.0
44,20,RL,,9200.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280.0,BLQ,491,167.0,938.0,GasA,TA,Y,SBrkr,938.0,0.0,0,938.0,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,308.0,TA,TA,Y,145.0,0.0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal,130250.0
45,20,RL,70.0,7945.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,'Wd Sdng',,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179.0,BLQ,506,465.0,1150.0,GasA,Ex,Y,FuseA,1150.0,0.0,0,1150.0,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,300.0,TA,TA,Y,0.0,0.0,0,0,0,0,,,,0,5,2006,WD,Normal,141000.0
46,120,RL,61.0,7658.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752.0,0.0,0,1752.0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576.0,TA,TA,Y,196.0,82.0,0,0,0,0,,,,0,2,2010,WD,Normal,319900.0
